"CountryName","stayhome-CountryCode","stayhome-Date","Stay Home","stayhome-PolicyValue","stayhome-Flag","stayhome-Notes","stayhome-region","stayhome-value"
"Dominican Republic","DOM",20201117,"C6: Stay at home requirements",2,"National","No policy change","dominican republic","require not leaving house except for essentials"
"Algeria","DZA",20201122,"C6: Stay at home requirements",2,"Regional","A curfew is in effect from 8pm to 5am in 29 provinces. These are: Algiers, Boumerdes, Souk Ahras, Tissemsilt, Djelfa, Mascara, Oum El Bouaghi, Batna, Bouira, Relizane, Biskra, Khenchela, M’sila, Chlef, Sidi Bel Abbes, Médéa, Blida, Bordj Bou Arreridj, Tipaza, Ouargla, Bechar, Constantine, Oran, Sétif, Annaba, Bejaia, Adrar, Laghouat, El Oued.    https://web.archive.org/web/20201129080406/https://www.gov.uk/foreign-travel-advice/algeria/coronavirus","algeria","require not leaving house except for essentials"
"Ecuador","ECU",20201029,"C6: Stay at home requirements",0,NA,"No restrictions: /web/20201109192911/https://ec.usembassy.gov/covid-19-information-ecu-2/","ecuador","no measures"
"Egypt","EGY",20201122,"C6: Stay at home requirements",1,"National","Restaurants, cafes, sports clubs and movie theaters are currently allowed to operate at 50 percent capacity. Public parks and beaches remain closed.    https://web.archive.org/web/20201121114711/https://eg.usembassy.gov/u-s-citizen-services/covid-19-information/","egypt","recommend not leaving house"
"Eritrea","ERI",20201116,"C6: Stay at home requirements",0,NA,"No change, and curfew is currently imposed. https://web.archive.org/web/20201115141839/https://er.usembassy.gov/covid-19-information/ last updated Sept. 9th 2020  ","eritrea","no measures"
"Spain","ESP",20201130,"C6: Stay at home requirements",2,"National","no change in policy","spain","require not leaving house except for essentials"
"Estonia","EST",20201024,"C6: Stay at home requirements",0,NA,"No restrictions: /web/20201102191805/https://www.visitestonia.com/en/why-estonia/coronavirus-and-travelling-to-estonia","estonia","no measures"
"Ethiopia","ETH",20201129,"C6: Stay at home requirements",0,NA,"No policy change identified following a review of previously used sources and a recent web search.","ethiopia","no measures"
"Finland","FIN",20201128,"C6: Stay at home requirements",0,NA,"No restrictions in place.   Source: https://web.archive.org/web/20201208051643/https://fi.usembassy.gov/covid-19-information/   ","finland","no measures"
"Fiji","FJI",20201124,"C6: Stay at home requirements",2,"National","there are still some restrictions in relation to COVID-19 in Fiji. Fiji still has a curfew from 11pm till 4am every day. This curfew is strictly monitored by the Fiji Police Force and persons without a valid reason seen outside their homes during the curfew hours will be arrested. https://web.archive.org/web/20201008031348/http://www.health.gov.fj/covid-19-faqs/   ","fiji","require not leaving house except for essentials"
